checkpoint,phase,domain,source_layer,target_layer,delta,capacity,transition_selection_coverage,static_selection_coverage,selection_gain_over_static,transition_complete_coverage,static_complete_coverage,complete_gain_over_static
base,prefill,__domain_balanced__,0,13,13,8,0.324190934882147,0.21453422732673602,0.10965670755541097,0.0,0.0,0.0
base,prefill,__domain_balanced__,0,13,13,16,0.49063105955430864,0.39686751713047225,0.09376354242383636,0.04708733278899557,0.028240707805218486,0.018846624983777083
base,prefill,__domain_balanced__,0,13,13,32,0.7468660270798233,0.6653576798815897,0.0815083471982336,0.2203519423926017,0.10346213506816976,0.11688980732443195
base,prefill,__domain_balanced__,0,14,14,8,0.31515632040569475,0.2007151584974203,0.11444116190827443,0.0016940948693126815,0.0,0.0016940948693126815
base,prefill,__domain_balanced__,0,14,14,16,0.5133154353462369,0.3692976235137193,0.14401781183251758,0.05797117754011559,0.00016666666666666666,0.05780451087344892
base,prefill,__domain_balanced__,0,14,14,32,0.7558368676607738,0.6433446215628429,0.11249224609793088,0.22651742338046726,0.08726299069875461,0.13925443268171267
base,prefill,__domain_balanced__,0,15,15,8,0.3174173163776256,0.23503753454672277,0.0823797818309028,0.004114230396902226,0.0,0.004114230396902226
base,prefill,__domain_balanced__,0,15,15,16,0.5074620657626076,0.3978533867668635,0.10960867899574406,0.05244889529718947,0.005324298160696999,0.047124597136492474
base,prefill,__domain_balanced__,0,15,15,32,0.7584958455353903,0.6741811637804715,0.08431468175491869,0.2037812583303704,0.10077859190776269,0.10300266642260769
instruct,prefill,code,0,1,1,8,0.4686592449177154,0.3419651500484027,0.12669409486931266,0.0,0.0,0.0
instruct,prefill,code,0,1,1,16,0.6513794772507261,0.4681752178121975,0.18320425943852858,0.07744433688286544,0.0,0.07744433688286544
instruct,prefill,code,0,1,1,32,0.824298160696999,0.6657792836398838,0.1585188770571152,0.271055179090029,0.08228460793804453,0.18877057115198448
instruct,prefill,code,0,2,2,8,0.49564375605033884,0.40984995159728943,0.0857938044530494,0.001936108422071636,0.0,0.001936108422071636
instruct,prefill,code,0,2,2,16,0.6727976766698935,0.5208131655372701,0.15198451113262346,0.10939012584704744,0.000968054211035818,0.10842207163601161
instruct,prefill,code,0,2,2,32,0.8418441432720233,0.739593417231365,0.10225072604065832,0.33010648596321396,0.17037754114230397,0.15972894482091
instruct,prefill,code,0,3,3,8,0.47483059051306875,0.36302032913843174,0.11181026137463701,0.0,0.0,0.0
instruct,prefill,code,0,3,3,16,0.6799370764762827,0.5290416263310745,0.1508954501452081,0.06292352371732816,0.0,0.06292352371732816
instruct,prefill,code,0,3,3,32,0.8628993223620522,0.7366892545982575,0.12621006776379473,0.3872216844143272,0.08325266214908035,0.30396902226524686
instruct,prefill,code,0,4,4,8,0.5556631171345595,0.39036786060019363,0.1652952565343659,0.005808325266214908,0.0,0.005808325266214908
instruct,prefill,code,0,4,4,16,0.7454017424975798,0.60648596321394,0.13891577928363985,0.11035818005808325,0.015488867376573089,0.09486931268151017
instruct,prefill,code,0,4,4,32,0.9104549854791868,0.8395450145208132,0.07090997095837359,0.47725072604065827,0.2207163601161665,0.25653436592449175
instruct,prefill,code,0,5,5,8,0.5908760890609874,0.4818489835430784,0.109027105517909,0.0,0.0,0.0
instruct,prefill,code,0,5,5,16,0.7537512100677638,0.6553727008712488,0.09837850919651503,0.18586640851887706,0.023233301064859633,0.16263310745401743
instruct,prefill,code,0,5,5,32,0.8832284607938045,0.8291384317521782,0.0540900290416263,0.46369796708615685,0.31268151016456924,0.1510164569215876
instruct,prefill,code,0,6,6,8,0.5621974830590513,0.5052032913843175,0.05699419167473374,0.002904162633107454,0.0,0.002904162633107454
instruct,prefill,code,0,6,6,16,0.7996127783155856,0.7071636011616651,0.09244917715392054,0.23814133591481124,0.09777347531461762,0.14036786060019363
instruct,prefill,code,0,6,6,32,0.9296950629235237,0.8561229428848015,0.07357212003872216,0.6030977734753146,0.324298160696999,0.27879961277831555
instruct,prefill,code,0,7,7,8,0.5605033881897387,0.40936592449177156,0.1511374636979671,0.00968054211035818,0.0,0.00968054211035818
instruct,prefill,code,0,7,7,16,0.7467328170377541,0.6416989351403679,0.10503388189738616,0.2362052274927396,0.057115198451113264,0.17909002904162633
instruct,prefill,code,0,7,7,32,0.9091239109390126,0.8355517909002904,0.07357212003872216,0.5701839303000968,0.3591481122942885,0.21103581800580834
instruct,prefill,code,0,8,8,8,0.513189738625363,0.3985963213939981,0.1145934172313649,0.002904162633107454,0.0,0.002904162633107454
instruct,prefill,code,0,8,8,16,0.7130929332042595,0.5795014520813165,0.13359148112294295,0.20135527589545016,0.013552758954501452,0.1878025169409487
instruct,prefill,code,0,8,8,32,0.8920619554695063,0.787512100677638,0.10454985479186829,0.5575992255566312,0.2933204259438529,0.26427879961277834
instruct,prefill,code,0,9,9,8,0.5312197483059051,0.3851645692158761,0.14605517909002902,0.011616650532429816,0.0,0.011616650532429816
instruct,prefill,code,0,9,9,16,0.7385043562439496,0.6170135527589545,0.12149080348499508,0.2526621490803485,0.05227492739593417,0.20038722168441434
instruct,prefill,code,0,9,9,32,0.8927879961277831,0.7703291384317522,0.12245885769603093,0.6040658276863504,0.2526621490803485,0.3514036786060019
instruct,prefill,code,0,10,10,8,0.484027105517909,0.3451113262342691,0.1389157792836399,0.006776379477250726,0.0,0.006776379477250726
instruct,prefill,code,0,10,10,16,0.6677153920619555,0.4909244917715392,0.17679090029041633,0.16263310745401743,0.0,0.16263310745401743
instruct,prefill,code,0,10,10,32,0.846079380445305,0.7334220716360116,0.11265730880929337,0.43368828654404645,0.1345595353339787,0.29912875121006777
instruct,prefill,code,0,11,11,8,0.5318247821878025,0.43973862536302033,0.09208615682478216,0.026137463697967087,0.0,0.026137463697967087
instruct,prefill,code,0,11,11,16,0.7445546950629235,0.5803484995159729,0.1642061955469506,0.20716360116166505,0.05033881897386254,0.1568247821878025
